,title,topic,link
0,"Agave, cooked (Southwest)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_35193_100g.html
1,"Alcoholic beverage, red, table, wine",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_14096_100g.html
2,"Alfalfa seeds, raw, sprouted",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11001_100g.html
3,"Amaranth grain, uncooked",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_20001_100g.html
4,"Apple juice, and potassium, calcium, with added ascorbic acid, unsweetened, canned or bottled",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9517_100g.html
5,"Apple juice, diluted with 3 volume water without added ascorbic acid, unsweetened, frozen concentrate",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9018_100g.html
6,"Apple juice, with added ascorbic acid, unsweetened, canned or bottled",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9400_100g.html
7,"Apple juice, without added ascorbic acid, unsweetened, canned or bottled",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9016_100g.html
8,"Apples, with skin, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9003_100g.html
9,"Applesauce, with added ascorbic acid, unsweetened, canned",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9401_100g.html
10,"Applesauce, without added ascorbic acid (includes USDA commodity), unsweetened, canned",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9019_100g.html
11,"Apricots, uncooked, sulfured, dried",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_9032_100g.html
12,"Artichokes, raw, (globe or french)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11007_100g.html
13,"Artichokes, with salt, drained, boiled, cooked, (globe or french)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11702_100g.html
14,"Artichokes, with salt, drained, boiled, cooked, frozen, (globe or french)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11703_100g.html
15,"Artichokes, without salt, drained, boiled, cooked, (globe or french)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11008_100g.html
16,"Artichokes, without salt, drained, boiled, cooked, frozen, (globe or french)",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11010_100g.html
17,"Arugula, raw",Betaine,https://www.nutritionvalue.org/export_csv_food_nutritional_value_11959_100g.html
